SBD,Score,Prize,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
35.05.04,25.25,1,,Prize,From,To,Delta
62.05.04,23.25,1,,Nh?t,18.25,25.25,-
15.05.02,22.255,1,,Nhì,13.36,18.02,0.23
65.05.01,21.62,1,,Ba,10.86,13.33,0.03
16.05.06,21.495,1,,KK,7.795,10.84,0.02
16.05.05,20.375,1,,,,,
24.05.03,19.84,1,,,,,
15.05.07,19.215,1,,,,,
65.05.02,19.06,1,,,,,
66.05.03,19.05,1,,,,,
67.05.05,18.97,1,,,,,
06.05.05,18.85,1,,,,,
26.05.01,18.79,1,,,,,
21.05.06,18.43,1,,,,,
24.05.11,18.35,1,,,,,
65.05.09,18.3,1,,,,,
"49.05,07",18.25,1,,,,,
48.05.07,18.02,2,,,,,
39.05.07,18.0,2,,,,,
37.05.10,17.75,2,,,,,
40.05.01,17.73,2,,,,,
48.05.01,17.53,2,,,,,
55.05.06,17.45,2,,,,,
09.05.10,17.32,2,,,,,
65.05.04,17.0,2,,,,,
15.05.06,16.885,2,,,,,
38.05.07,16.775,2,,,,,
24.05.14,16.63,2,,,,,
24.05.08,16.615,2,,,,,
15.05.03,16.57,2,,,,,
13.05.01,16.375,2,,,,,
49.05.01,16.335,2,,,,,
67.05.09,16.265,2,,,,,
45.05.05,16.23,2,,,,,
58.05.08,16.175,2,,,,,
39.05.03,15.985,2,,,,,
19.05.02,15.94,2,,,,,
02.05.10,15.91,2,,,,,
43.05.01,15.895,2,,,,,
10.05.09,15.83,2,,,,,
46.05.06,15.82,2,,,,,
08.05.03,15.805,2,,,,,
03.05.05,15.775,2,,,,,
65.05.08,15.715,2,,,,,
55.05.03,15.67,2,,,,,
24.05.04,15.65,2,,,,,
65.05.06,15.425,2,,,,,
18.05.06,15.41,2,,,,,
58.05.20,15.365,2,,,,,
41.05.05,15.315,2,,,,,
45.05.08,15.205,2,,,,,
55.05.08,15.18,2,,,,,
16.05.01,14.99,2,,,,,
58.05.07,14.96,2,,,,,
32.05.08,14.935,2,,,,,
06.05.04,14.92,2,,,,,
08.05.01,14.77,2,,,,,
58.05.14,14.755,2,,,,,
41.05.09,14.74,2,,,,,
02.05.07,14.725,2,,,,,
56.05.04,14.555,2,,,,,
13.05.02,14.55,2,,,,,
46.05.03,14.43,2,,,,,
16.05.03,14.375,2,,,,,
02.05.01,14.31,2,,,,,
58.05.16,14.305,2,,,,,
40.05.06,14.3,2,,,,,
40.05.03,14.2,2,,,,,
56.05.07,14.2,2,,,,,
46.05.04,14.195,2,,,,,
40.05.08,14.185,2,,,,,
23.05.03,14.165,2,,,,,
02.05.08,14.06,2,,,,,
58.05.15,14.02,2,,,,,
06.05.08,13.995,2,,,,,
40.05.02,13.985,2,,,,,
63.05.08,13.95,2,,,,,
49.05.03,13.94,2,,,,,
09.05.09,13.92,2,,,,,
24.05.16,13.795,2,,,,,
21.05.02,13.79,2,,,,,
62.05.07,13.775,2,,,,,
11.05.10,13.765,2,,,,,
16.05.08,13.76,2,,,,,
17.05.09,13.73,2,,,,,
67.05.08,13.7,2,,,,,
49.05.02,13.67,2,,,,,
16.05.02,13.665,2,,,,,
' 57.05.09,13.59,2,,,,,
67.05.03,13.58,2,,,,,
02.05.04,13.57,2,,,,,
66.05.04,13.57,2,,,,,
48.05.06,13.56,2,,,,,
06.05.06,13.545,2,,,,,
10.05.06,13.535,2,,,,,
56.05.01,13.53,2,,,,,
56.05.03,13.52,2,,,,,
16.05.04,13.465,2,,,,,
24.05.19,13.455,2,,,,,
24.05.06,13.38,2,,,,,
43.05.03,13.38,2,,,,,
24.05.02,13.36,2,,,,,
58.05.10,13.355,2,,,,,
66.05.05,13.325,3,,,,,
25.05.03,13.22,3,,,,,
40.05.05,13.22,3,,,,,
19.05.10,13.2,3,,,,,
65.05.10,13.165,3,,,,,
09.05.08,13.16,3,,,,,
65.05.03,13.11,3,,,,,
48.05.08,13.1,3,,,,,
13.05.10,13.095,3,,,,,
44.05.06,13.03,3,,,,,
39.05.09,13.0,3,,,,,
31.05.07,12.985,3,,,,,
10.05.07,12.96,3,,,,,
26.05.02,12.94,3,,,,,
50.05.02,12.9,3,,,,,
37.05.07,12.845,3,,,,,
66.05.10,12.835,3,,,,,
13.05.07,12.825,3,,,,,
58.05.04,12.8,3,,,,,
23.05.07,12.77,3,,,,,
60.05.06,12.77,3,,,,,
24.05.15,12.76,3,,,,,
39.05.08,12.76,3,,,,,
56.05.09,12.69,3,,,,,
41.05.01,12.66,3,,,,,
62.05.01,12.65,3,,,,,
57.05.07,12.595,3,,,,,
01.05.07,12.585,3,,,,,
17.05.01,12.585,3,,,,,
43.05.06,12.51,3,,,,,
03.05.04,12.505,3,,,,,
29.05.06,12.505,3,,,,,
30.05.02,12.435,3,,,,,
52.05.01,12.42,3,,,,,
25.05.09,12.415,3,,,,,
25.05.01,12.37,3,,,,,
22.05.04,12.34,3,,,,,
25.05.02,12.32,3,,,,,
44.05.05,12.305,3,,,,,
26.05.05,12.24,3,,,,,
32.05.02,12.24,3,,,,,
08.05.07,12.2,3,,,,,
13.05.08,12.175,3,,,,,
01.05.03,12.17,3,,,,,
40.05.07,12.165,3,,,,,
38.05.01,12.13,3,,,,,
55.05.07,12.1,3,,,,,
55.05.09,12.1,3,,,,,
32.05.10,12.07,3,,,,,
48.05.02,12.06,3,,,,,
31.05.01,11.99,3,,,,,
49.05.09,11.99,3,,,,,
56.05.05,11.99,3,,,,,
67.05.01,11.985,3,,,,,
40.05.09,11.98,3,,,,,
08.05.02,11.885,3,,,,,
24.05.05,11.885,3,,,,,
66.05.09,11.875,3,,,,,
53.05.03,11.865,3,,,,,
56.05.08,11.84,3,,,,,
16.05.09,11.82,3,,,,,
41.05.08,11.785,3,,,,,
58.05.01,11.785,3,,,,,
27.05.10,11.78,3,,,,,
62.05.06,11.725,3,,,,,
05.05.08,11.71,3,,,,,
31.05.03,11.71,3,,,,,
44.05.02,11.71,3,,,,,
66.05.06,11.71,3,,,,,
58.05.12,11.675,3,,,,,
54.05.05,11.665,3,,,,,
43.05.10,11.655,3,,,,,
"38,05.09",11.605,3,,,,,
46.05.07,11.6,3,,,,,
52.05.03,11.58,3,,,,,
60.05.05,11.57,3,,,,,
57.05.08,11.56,3,,,,,
01.05.08,11.555,3,,,,,
47.05.08,11.535,3,,,,,
63.05.01,11.525,3,,,,,
35.05.08,11.505,3,,,,,
56.05.10,11.505,3,,,,,
58.05.05,11.505,3,,,,,
33.05.03,11.445,3,,,,,
33.05.09,11.445,3,,,,,
17.05.04,11.435,3,,,,,
42.05.01,11.435,3,,,,,
08.05.06,11.395,3,,,,,
67.05.07,11.395,3,,,,,
23.05.02,11.39,3,,,,,
47.05.04,11.37,3,,,,,
58.05.06,11.365,3,,,,,
06.05.03,11.36,3,,,,,
43.05.02,11.36,3,,,,,
44.05.03,11.36,3,,,,,
54.05.02,11.36,3,,,,,
49.05.05,11.355,3,,,,,
63.05.02,11.295,3,,,,,
20.05.02,11.26,3,,,,,
49.05.10,11.26,3,,,,,
50.05.01,11.245,3,,,,,
54.05.01,11.24,3,,,,,
48.05.09,11.19,3,,,,,
42.05.05,11.165,3,,,,,
39.05.06,11.155,3,,,,,
27.05.07,11.12,3,,,,,
"49.05,08",11.115,3,,,,,
38.05.02,11.1,3,,,,,
67.05.04,11.085,3,,,,,
20.05.03,11.08,3,,,,,
06.05.07,11.07,3,,,,,
67.05.02,11.055,3,,,,,
03.05.09,11.045,3,,,,,
13.05.06,11.045,3,,,,,
33.05.10,10.905,3,,,,,
02.05.06,10.9,3,,,,,
46.05.01,10.865,3,,,,,
17.05.02,10.86,3,,,,,
55.05.10,10.86,3,,,,,
08.05.09,10.855,3,,,,,
30.05.08,10.835,4,,,,,
39.05.01,10.835,4,,,,,
47.05.02,10.8,4,,,,,
06.05.02,10.79,4,,,,,
.57.05.06,10.785,4,,,,,
54.05.08,10.76,4,,,,,
58.05.09,10.755,4,,,,,
10.05.01,10.74,4,,,,,
01.05.10,10.735,4,,,,,
33.05.05,10.735,4,,,,,
24.05.01,10.7,4,,,,,
49.05.04,10.7,4,,,,,
41.05.06,10.695,4,,,,,
46.05.05,10.695,4,,,,,
35.05.02,10.665,4,,,,,
58.05.11,10.665,4,,,,,
20.05.10,10.66,4,,,,,
50.05.08,10.59,4,,,,,
53.05.02,10.59,4,,,,,
55.05.04,10.59,4,,,,,
48.05.10,10.585,4,,,,,
16.05.10,10.55,4,,,,,
11.05.05,10.545,4,,,,,
15.05.08,10.52,4,,,,,
19.05.01,10.52,4,,,,,
21.05.04,10.52,4,,,,,
37.05.08,10.485,4,,,,,
03.05.03,10.47,4,,,,,
25.05.04,10.44,4,,,,,
26.05.07,10.425,4,,,,,
29.05.05,10.415,4,,,,,
02.05.03,10.41,4,,,,,
68.05.02,10.335,4,,,,,
40.05.04,10.3,4,,,,,
47.05.10,10.275,4,,,,,
44.05.01,10.255,4,,,,,
11.05.01,10.23,4,,,,,
41.05.02,10.23,4,,,,,
59.05.06,10.23,4,,,,,
25.05.08,10.205,4,,,,,
41.05.07,10.18,4,,,,,
46.05.02,10.17,4,,,,,
62.05.03,10.155,4,,,,,
20.05.01,10.055,4,,,,,
23.05.10,10.035,4,,,,,
58.05.18,10.035,4,,,,,
32.05.03,10.015,4,,,,,
06.05.01,9.965,4,,,,,
17.05.10,9.95,4,,,,,
27.05.09,9.945,4,,,,,
"10,05.04",9.925,4,,,,,
24.05.10,9.925,4,,,,,
07.05.04,9.895,4,,,,,
08.05.04,9.89,4,,,,,
15.05.10,9.87,4,,,,,
29.05.03,9.825,4,,,,,
52.05.10,9.825,4,,,,,
54.05.06,9.79,4,,,,,
58.05.02,9.775,4,,,,,
17.05.05,9.72,4,,,,,
40.05.10,9.72,4,,,,,
09.05.03,9.715,4,,,,,
11.05.09,9.715,4,,,,,
43.05.07,9.645,4,,,,,
33.05.08,9.63,4,,,,,
41.05.10,9.615,4,,,,,
09.05.06,9.555,4,,,,,
37.05.05,9.54,4,,,,,
35.05.05,9.51,4,,,,,
03.05.06,9.47,4,,,,,
33.05.01,9.47,4,,,,,
53.05.05,9.47,4,,,,,
58.05.03,9.47,4,,,,,
"10.05,08",9.44,4,,,,,
20.05.07,9.385,4,,,,,
11.05.08,9.37,4,,,,,
25.05.06,9.37,4,,,,,
24.05.07,9.365,4,,,,,
50.05.07,9.35,4,,,,,
29.05.04,9.335,4,,,,,
32.05.06,9.315,4,,,,,
13.05.05,9.295,4,,,,,
"49.05,06",9.275,4,,,,,
66.05.02,9.19,4,,,,,
33.05.07,9.185,4,,,,,
35.05.07,9.14,4,,,,,
32.05.01,9.09,4,,,,,
48.05.03,9.055,4,,,,,
45.05.02,9.035,4,,,,,
21.05.05,9.025,4,,,,,
46.05.09,9.02,4,,,,,
37.05.09,8.995,4,,,,,
31.05.05,8.98,4,,,,,
43.05.05,8.98,4,,,,,
02.05.09,8.945,4,,,,,
60.05.01,8.945,4,,,,,
35.05.06,8.94,4,,,,,
67.05.10,8.91,4,,,,,
23.05.05,8.895,4,,,,,
41.05.04,8.89,4,,,,,
67.05.06,8.88,4,,,,,
37.05.04,8.875,4,,,,,
65.05.05,8.855,4,,,,,
33.05.04,8.845,4,,,,,
24.05.18,8.84,4,,,,,
60.05.07,8.82,4,,,,,
38.05.08,8.81,4,,,,,
54.05.03,8.805,4,,,,,
60.05.04,8.77,4,,,,,
20.05.05,8.75,4,,,,,
37.05.01,8.715,4,,,,,
30.05.09,8.655,4,,,,,
44.05.09,8.65,4,,,,,
62.05.02,8.65,4,,,,,
19.05.05,8.625,4,,,,,
17.05.08,8.61,4,,,,,
20.05.04,8.425,4,,,,,
27.05.08,8.41,4,,,,,
03.05.02,8.4,4,,,,,
37.05.03,8.39,4,,,,,
58.05.17,8.39,4,,,,,
60.05.08,8.39,4,,,,,
05.05.02,8.385,4,,,,,
02.05.05,8.34,4,,,,,
12.05.05,8.3,4,,,,,
68.05.07,8.295,4,,,,,
26.05.06,8.28,4,,,,,
62.05.10,8.26,4,,,,,
46.05.08,8.245,4,,,,,
45.05.01,8.215,4,,,,,
26.05.08,8.195,4,,,,,
19.05.03,8.19,4,,,,,
01.05.09,8.15,4,,,,,
58.05.19,8.12,4,,,,,
27.05.06,8.11,4,,,,,
53.05.06,8.095,4,,,,,
35.05.03,8.09,4,,,,,
03.05.10,8.07,4,,,,,
07.05.05,8.07,4,,,,,
28.05.09,8.06,4,,,,,
19.05.07,8.0,4,,,,,
08.05.08,7.98,4,,,,,
16.05.07,7.945,4,,,,,
52.05.02,7.925,4,,,,,
50.05.04,7.915,4,,,,,
33.05.02,7.9,4,,,,,
66.05.08,7.8,4,,,,,
05.05.05,7.795,4,,,,,
